review_text,rating
"The food was excellent and the service was attentive.",5
"Fresh dishes and friendly staff made the meal memorable.",5
"The ambience was warm and the food tasted wonderful.",5
"Service was quick, the portions were generous, and the price felt fair.",5
"The cocktails were excellent and the staff were helpful.",5
"The location was convenient and the restaurant was very clean.",5
"The meal was delicious but the waiting time was longer than expected.",4
"Good food and pleasant ambience, although the service felt rushed.",4
"The staff were polite and the portions were satisfying.",4
"Food quality was good but the drinks were overpriced.",4
"The decor was lovely and the service was reliable.",4
"The menu had tasty dishes at a reasonable price.",4
"The food was acceptable but the service was slow.",3
"Average meal, friendly waiter, and a noisy atmosphere.",3
"The location was useful but parking was difficult.",3
"The portions were small, although the food tasted good.",3
"The ambience was ordinary and the drinks were fine.",3
"The restaurant was clean but the price was high for the portion size.",3
"The service was inconsistent and the meal was bland.",2
"The food arrived cold after a long wait.",2
"The staff were rude but the location was convenient.",2
"The ambience was noisy and the tables felt dirty.",2
"The drinks were weak and the bill was expensive.",2
"The portion was tiny and the food lacked flavour.",2
"Terrible service and disappointing food ruined the evening.",1
"The staff ignored us and the waiting time was unacceptable.",1
"The meal tasted awful and the restaurant was dirty.",1
"The price was outrageous for such a small portion.",1
"The atmosphere was unpleasant and the drinks were terrible.",1
"Parking was impossible and the service remained painfully slow.",1
"Fantastic cuisine, spotless tables, and cheerful staff.",5
"The waiter handled our requests well and the food was delicious.",5
"Great value, generous portions, and fast service.",5
"The ambience was calm but the location was hard to reach.",4
"Food was flavourful, though the queue moved slowly.",4
"Helpful staff made up for the average drinks.",4
"The meal was plain and the server seemed distracted.",3
"Reasonable price but a cramped atmosphere.",3
"The washroom was clean, although table service was average.",3
"The food was greasy and the manager was unhelpful.",2
"Slow delivery time made the otherwise good meal frustrating.",2
"The bill was high and the portions were disappointing.",2
"Dirty restroom and rude staff made us leave early.",1
"The cuisine was poor and the waiting was endless.",1
"Excellent food with a beautiful interior.",5
"Customer service was excellent and the price was reasonable.",5
"The drinks were refreshing but the portion size was modest.",4
"The area was convenient, yet the atmosphere was too loud.",3
